Timestamp,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Label
2025-06-14 09:57:59,192.168.1.11,50800,192.168.1.4,47904,RA,
2025-06-14 09:57:59,192.168.1.4,46066,192.168.1.11,3128,RA,
2025-06-14 09:57:59,192.168.1.4,45304,192.168.1.11,1090,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1090,192.168.1.4,45304,RA,
2025-06-14 09:57:59,192.168.1.4,48662,192.168.1.11,5500,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5500,192.168.1.4,48662,RA,
2025-06-14 09:57:59,192.168.1.4,46556,192.168.1.11,1042,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1042,192.168.1.4,46556,RA,
2025-06-14 09:57:59,192.168.1.4,33520,192.168.1.11,3871,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3871,192.168.1.4,33520,RA,
2025-06-14 09:57:59,192.168.1.4,39148,192.168.1.11,1687,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1687,192.168.1.4,39148,RA,
2025-06-14 09:57:59,192.168.1.4,60012,192.168.1.11,99,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,99,192.168.1.4,60012,RA,
2025-06-14 09:57:59,192.168.1.4,38558,192.168.1.11,1165,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1165,192.168.1.4,38558,RA,
2025-06-14 09:57:59,192.168.1.4,54782,192.168.1.11,700,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,700,192.168.1.4,54782,RA,
2025-06-14 09:57:59,192.168.1.4,46444,192.168.1.11,7402,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,7402,192.168.1.4,46444,RA,
2025-06-14 09:57:59,192.168.1.4,46166,192.168.1.11,1583,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1583,192.168.1.4,46166,RA,
2025-06-14 09:57:59,192.168.1.4,33336,192.168.1.11,3826,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3826,192.168.1.4,33336,RA,
2025-06-14 09:57:59,192.168.1.4,37302,192.168.1.11,8011,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8011,192.168.1.4,37302,RA,
2025-06-14 09:57:59,192.168.1.4,40320,192.168.1.11,9876,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,9876,192.168.1.4,40320,RA,
2025-06-14 09:57:59,192.168.1.4,55898,192.168.1.11,32782,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,32782,192.168.1.4,55898,RA,
2025-06-14 09:57:59,192.168.1.4,47008,192.168.1.11,1058,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1058,192.168.1.4,47008,RA,
2025-06-14 09:57:59,192.168.1.4,39902,192.168.1.11,1117,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1117,192.168.1.4,39902,RA,
2025-06-14 09:57:59,192.168.1.4,50744,192.168.1.11,27353,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,27353,192.168.1.4,50744,RA,
2025-06-14 09:57:59,192.168.1.4,44840,192.168.1.11,10002,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,10002,192.168.1.4,44840,RA,
2025-06-14 09:57:59,192.168.1.4,58846,192.168.1.11,212,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,212,192.168.1.4,58846,RA,
2025-06-14 09:57:59,192.168.1.4,54720,192.168.1.11,15742,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,15742,192.168.1.4,54720,RA,
2025-06-14 09:57:59,192.168.1.4,35104,192.168.1.11,3809,S,VARREDURA_DE_PORTA
