Timestamp,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Label,Desc,Packet_Count_src,Packet_Count_dst
2025-06-16 11:50:47,10.19.31.184,55656,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,2,179
2025-06-16 11:50:47,10.19.29.124,22,10.19.31.184,51538,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,9,2
2025-06-16 11:50:47,10.19.31.184,55648,10.19.29.124,3128,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,3,180
2025-06-16 11:50:47,10.19.31.184,55634,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,4,181
2025-06-16 11:50:47,10.19.31.184,51522,10.19.29.124,22,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,4,19
2025-06-16 11:50:47,10.19.31.184,56102,10.19.29.124,80,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,4,2260
2025-06-16 11:50:47,10.19.31.184,55634,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,5,182
2025-06-16 11:50:47,10.19.31.184,55634,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,183
2025-06-16 11:50:47,10.19.29.124,22,10.19.31.184,51522,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,10,3
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55648,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,95,2
2025-06-16 11:50:47,10.19.29.124,22,10.19.31.184,51522,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,11,4
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55648,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,96,3
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55648,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,97,4
2025-06-16 11:50:47,10.19.29.124,22,10.19.31.184,51522,FPA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,12,5
2025-06-16 11:50:47,10.19.31.184,55612,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,7,184
2025-06-16 11:50:47,10.19.31.184,56096,10.19.29.124,80,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,5,2261
2025-06-16 11:50:47,10.19.31.184,55628,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,8,185
2025-06-16 11:50:47,10.19.31.184,51522,10.19.29.124,22,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,5,20
2025-06-16 11:50:47,10.19.31.184,51538,10.19.29.124,22,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,3,21
2025-06-16 11:50:47,10.19.31.184,55648,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,4,186
2025-06-16 11:50:47,10.19.31.184,55648,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,5,187
2025-06-16 11:50:47,10.19.31.184,55648,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,188
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56118,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1621,3
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56118,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1622,4
2025-06-16 11:50:47,10.19.31.184,56118,10.19.29.124,80,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,4,2262
2025-06-16 11:50:47,10.19.31.184,56102,10.19.29.124,80,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,5,2263
2025-06-16 11:50:47,10.19.31.184,55634,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,7,189
2025-06-16 11:50:47,10.19.31.184,55598,10.19.29.124,3128,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,190
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55598,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,98,5
2025-06-16 11:50:47,10.19.31.184,55612,10.19.29.124,3128,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,8,191
2025-06-16 11:50:47,10.19.31.184,55604,10.19.29.124,3128,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,8,192
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55612,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,99,5
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55604,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,100,6
2025-06-16 11:50:47,10.19.31.184,55662,10.19.29.124,3128,S,NMAP/Port_Scan,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : NMAP/Port_Scan,1,193
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55662,SA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,101,1
2025-06-16 11:50:47,10.19.31.184,55628,10.19.29.124,3128,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,9,194
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55628,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,102,7
2025-06-16 11:50:47,10.19.31.184,55648,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,7,195
2025-06-16 11:50:47,10.19.31.184,56096,10.19.29.124,80,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,2264
2025-06-16 11:50:47,10.19.31.184,49426,10.19.29.124,21,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,8,32
2025-06-16 11:50:47,10.19.31.184,55662,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,2,196
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56096,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1623,5
2025-06-16 11:50:47,10.19.31.184,51522,10.19.29.124,22,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,22
2025-06-16 11:50:47,10.19.31.184,55656,10.19.29.124,3128,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,3,197
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55656,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,103,5
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55656,PA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,104,6
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55656,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,105,7
2025-06-16 11:50:47,10.19.31.184,55656,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,4,198
2025-06-16 11:50:47,10.19.31.184,55656,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,5,199
2025-06-16 11:50:47,10.19.31.184,55656,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,200
2025-06-16 11:50:47,10.19.31.184,56118,10.19.29.124,80,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,5,2265
2025-06-16 11:50:47,52.182.143.215,443,10.19.29.124,50090,A,,,341,341
2025-06-16 11:50:47,10.19.29.124,21,10.19.31.184,49426,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,23,4
2025-06-16 11:50:47,10.19.31.184,55634,10.19.29.124,3128,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,8,201
2025-06-16 11:50:47,10.19.31.184,56102,10.19.29.124,80,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,2266
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56102,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1624,5
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55634,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,106,5
2025-06-16 11:50:47,10.19.31.184,56126,10.19.29.124,80,S,NMAP/Port_Scan,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : NMAP/Port_Scan,1,2267
2025-06-16 11:50:47,10.19.31.184,56118,10.19.29.124,80,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,6,2268
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56118,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1625,5
2025-06-16 11:50:47,10.19.31.184,51522,10.19.29.124,22,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,7,23
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56126,SA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1626,1
2025-06-16 11:50:47,10.19.31.184,55648,10.19.29.124,3128,FA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,8,202
2025-06-16 11:50:47,10.19.29.124,22,10.19.31.184,51522,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,13,6
2025-06-16 11:50:47,10.19.29.124,3128,10.19.31.184,55648,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,107,5
2025-06-16 11:50:47,10.19.31.184,55656,10.19.29.124,3128,A,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : ICMP_FLOOD,7,203
2025-06-16 11:50:47,10.19.31.184,56134,10.19.29.124,80,S,NMAP/Port_Scan,[ALERTA] Assinaturas detectadas no tráfego de 10.19.31.184 -> 10.19.29.124 : NMAP/Port_Scan,1,2269
2025-06-16 11:50:47,10.19.29.124,80,10.19.31.184,56134,SA,ICMP_FLOOD,[ALERTA] Assinaturas detectadas no tráfego de 10.19.29.124 -> 10.19.31.184 : ICMP_FLOOD,1627,1
